observation_date,USDATAWWWNGSP
1997-01-01,32000
1998-01-01,37488
1999-01-01,31737
2000-01-01,27489
2001-01-01,44274
2002-01-01,65035
2003-01-01,66971
2004-01-01,78369
2005-01-01,76414
2006-01-01,86871
2007-01-01,72406
2008-01-01,90520
2009-01-01,93971
2010-01-01,109474
2011-01-01,125043
2012-01-01,117734
2013-01-01,146071
2014-01-01,160582
2015-01-01,178355
2016-01-01,198369
2017-01-01,214162
2018-01-01,226478
2019-01-01,274130
2020-01-01,315570
2021-01-01,369103
2022-01-01,416754
2023-01-01,471230
2024-01-01,529056
